Ay,bahis: (Türkiye)
2014-01,13
2014-02,16
2014-03,15
2014-04,17
2014-05,15
2014-06,12
2014-07,12
2014-08,14
2014-09,16
2014-10,19
2014-11,21
2014-12,21
2015-01,17
2015-02,21
2015-03,21
2015-04,17
2015-05,21
2015-06,13
2015-07,12
2015-08,16
2015-09,21
2015-10,24
2015-11,25
2015-12,31
2016-01,30
2016-02,29
2016-03,28
2016-04,25
2016-05,27
2016-06,20
2016-07,18
2016-08,22
2016-09,41
2016-10,35
2016-11,33
2016-12,36
2017-01,36
2017-02,57
2017-03,49
2017-04,44
2017-05,40
2017-06,34
2017-07,31
2017-08,37
2017-09,47
2017-10,55
2017-11,43
2017-12,44
2018-01,34
2018-02,49
2018-03,39
2018-04,36
2018-05,27
2018-06,27
2018-07,26
2018-08,33
2018-09,36
2018-10,39
2018-11,39
2018-12,38
2019-01,34
2019-02,47
2019-03,38
2019-04,36
2019-05,31
2019-06,27
2019-07,29
2019-08,49
2019-09,40
2019-10,49
2019-11,35
2019-12,41
2020-01,36
2020-02,40
2020-03,27
2020-04,18
2020-05,20
2020-06,26
2020-07,35
2020-08,30
2020-09,34
2020-10,34
2020-11,37
2020-12,43
2021-01,37
2021-02,38
2021-03,33
2021-04,33
2021-05,33
2021-06,25
2021-07,28
2021-08,46
2021-09,33
2021-10,37
2021-11,34
2021-12,29
2022-01,35
2022-02,37
2022-03,38
2022-04,35
2022-05,34
2022-06,29
2022-07,30
2022-08,35
2022-09,37
2022-10,41
2022-11,41
2022-12,42
2023-01,45
2023-02,42
2023-03,45
2023-04,49
2023-05,49
2023-06,49
2023-07,51
2023-08,58
2023-09,64
2023-10,100
2023-11,77
2023-12,69
