Ay,otel fiyat: (Türkiye)
2014-01,24
2014-02,24
2014-03,18
2014-04,23
2014-05,27
2014-06,40
2014-07,63
2014-08,62
2014-09,29
2014-10,21
2014-11,20
2014-12,23
2015-01,24
2015-02,25
2015-03,23
2015-04,26
2015-05,29
2015-06,42
2015-07,70
2015-08,66
2015-09,34
2015-10,22
2015-11,22
2015-12,25
2016-01,26
2016-02,24
2016-03,22
2016-04,24
2016-05,30
2016-06,55
2016-07,69
2016-08,53
2016-09,34
2016-10,23
2016-11,23
2016-12,23
2017-01,29
2017-02,26
2017-03,23
2017-04,30
2017-05,37
2017-06,61
2017-07,90
2017-08,81
2017-09,42
2017-10,26
2017-11,26
2017-12,32
2018-01,38
2018-02,32
2018-03,29
2018-04,35
2018-05,37
2018-06,62
2018-07,94
2018-08,75
2018-09,43
2018-10,28
2018-11,29
2018-12,37
2019-01,40
2019-02,34
2019-03,29
2019-04,33
2019-05,40
2019-06,67
2019-07,83
2019-08,84
2019-09,42
2019-10,34
2019-11,36
2019-12,35
2020-01,42
2020-02,35
2020-03,19
2020-04,7
2020-05,12
2020-06,35
2020-07,78
2020-08,66
2020-09,36
2020-10,28
2020-11,21
2020-12,19
2021-01,32
2021-02,34
2021-03,28
2021-04,25
2021-05,34
2021-06,70
2021-07,100
2021-08,75
2021-09,48
2021-10,40
2021-11,36
2021-12,34
2022-01,40
2022-02,36
2022-03,35
2022-04,34
2022-05,46
2022-06,58
2022-07,81
2022-08,72
2022-09,44
2022-10,34
2022-11,34
2022-12,33
2023-01,43
2023-02,27
2023-03,27
2023-04,34
2023-05,37
2023-06,65
2023-07,84
2023-08,70
2023-09,49
2023-10,32
2023-11,34
2023-12,33
